datetime,team.name,period,player.name,pass.recipient.name,pass.length
2023-08-13 00:07:24.751,Montpellier,1,Téji Savanier,Wahbi Khazri,17.24094
2023-08-13 00:07:25.459,Le Havre,1,Loïc Négo,Rassoul N'Diaye,11.244999
2023-08-13 00:07:26.039,Montpellier,2,Joris Chotard,Issiaga Sylla,11.175867
2023-08-13 00:07:27.589,Montpellier,2,Issiaga Sylla,Joris Chotard,8.670063
2023-08-13 00:07:29.222,Montpellier,2,Joris Chotard,Boubakar Kouyate,20.84826
2023-08-13 00:07:31.323,Montpellier,2,Boubakar Kouyate,Christopher Jullien,26.239283
2023-08-13 00:07:33.947,Montpellier,2,Christopher Jullien,Jordan Ferri,24.981594
2023-08-13 00:07:36.610,Montpellier,2,Jordan Ferri,Moussa Al Tamari,21.261467
2023-08-13 00:07:39.347,Montpellier,2,Moussa Al Tamari,Falaye Sacko,4.6389656
2023-08-13 00:07:53.921,Le Havre,1,Yoann Salmier,Issa Soumaré,23.88828
2023-08-13 00:07:55.763,Montpellier,1,Boubakar Kouyate,Téji Savanier,12.459535
2023-08-13 00:07:56.850,Montpellier,1,Téji Savanier,Akor Jerome Adams,11.9105
2023-08-13 00:07:59.979,Le Havre,1,Daler Kuzyaev,Rassoul N'Diaye,13.74409
2023-08-13 00:08:33.293,Montpellier,2,Téji Savanier,Wahbi Khazri,33.095318
2023-08-13 00:08:36.137,Le Havre,1,Arouna Sangante,Issa Soumaré,41.85272
2023-08-13 00:08:38.385,Le Havre,1,Issa Soumaré,Rassoul N'Diaye,9.364828
2023-08-13 00:08:49.317,Le Havre,2,Arthur Desmas,Gautier Lloris,23.132013
2023-08-13 00:08:51.573,Le Havre,2,Gautier Lloris,Josue Casimir,11.676472
2023-08-13 00:08:53.269,Le Havre,2,Josue Casimir,Gautier Lloris,8.79659
2023-08-13 00:08:53.918,Le Havre,2,Gautier Lloris,Daler Kuzyaev,15.454773
2023-08-13 00:08:55.251,Le Havre,1,Loïc Négo,Issa Soumaré,8.500588
2023-08-13 00:08:57.868,Montpellier,2,Falaye Sacko,Moussa Al Tamari,10.283968
2023-08-13 00:08:58.506,Montpellier,1,Téji Savanier,Moussa Al Tamari,35.424427
2023-08-13 00:08:59.369,Montpellier,2,Moussa Al Tamari,Falaye Sacko,9.688137
2023-08-13 00:09:02.200,Le Havre,1,Gautier Lloris,Daler Kuzyaev,12.681088
2023-08-13 00:09:02.939,Montpellier,2,Falaye Sacko,Téji Savanier,7.7369246
2023-08-13 00:09:04.428,Montpellier,2,Téji Savanier,Moussa Al Tamari,25.601954
2023-08-13 00:09:06.376,Montpellier,1,Téji Savanier,Moussa Al Tamari,45.111862
2023-08-13 00:09:09.313,Le Havre,2,Gautier Lloris,Arouna Sangante,7.7491937
2023-08-13 00:09:10.432,Le Havre,1,Arthur Desmas,Josue Casimir,16.717056
2023-08-13 00:09:14.581,Le Havre,2,Arouna Sangante,Josue Casimir,23.380547
2023-08-13 00:09:14.724,Le Havre,1,Josue Casimir,Nabil Alioui,11.472576
2023-08-13 00:09:27.733,Le Havre,1,Josue Casimir,Issa Soumaré,29.140007
2023-08-13 00:09:30.439,Montpellier,1,Joris Chotard,Jordan Ferri,16.804762
2023-08-13 00:09:33.520,Montpellier,1,Jordan Ferri,Issiaga Sylla,29.14464
2023-08-13 00:09:37.410,Montpellier,1,Issiaga Sylla,Christopher Jullien,41.22293
2023-08-13 00:09:40.625,Montpellier,1,Christopher Jullien,Falaye Sacko,30.048628
2023-08-13 00:09:45.440,Montpellier,1,Falaye Sacko,Christopher Jullien,19.882908
2023-08-13 00:09:47.440,Montpellier,1,Christopher Jullien,Boubakar Kouyate,31.058655
2023-08-13 00:09:49.689,Montpellier,1,Boubakar Kouyate,Jordan Ferri,10.0657835
2023-08-13 00:09:51.326,Montpellier,1,Jordan Ferri,Issiaga Sylla,20.011248
2023-08-13 00:09:53.490,Montpellier,1,Issiaga Sylla,Wahbi Khazri,23.801891
2023-08-13 00:10:36.705,Montpellier,2,Téji Savanier,Jordan Ferri,34.81738
2023-08-13 00:10:43.043,Le Havre,2,Loïc Négo,Rassoul N'Diaye,45.12494
2023-08-13 00:10:44.893,Le Havre,1,Yoann Salmier,Issa Soumaré,43.95384
2023-08-13 00:10:47.282,Le Havre,1,Issa Soumaré,Nabil Alioui,18.56071
2023-08-13 00:10:48.631,Le Havre,1,Nabil Alioui,Issa Soumaré,7.4431176
2023-08-13 00:10:51.257,Montpellier,1,Boubakar Kouyate,Falaye Sacko,26.654268
